sector,category,id,name,unit,factor,uncertainty,source,year,region,date_accessed,description,source_link
Transport,Road Travel,lpg-car-short-distance,Average LPG Car Short Distance,kg-CO2e/pkm,0.137,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average LPG Car. Short Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,petrol-car,Average Petrol Car,kg-CO2e/km,0.17431,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average Petrol Car. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Vehicle,petrol-car,Average Petrol Car,kg-CO2e/km,0.198,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Petrol Car. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,petrol-car-long-distance,Average Petrol Car Long Distance,kg-CO2e/pkm,0.0836,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Petrol Car. Long Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,petrol-car-mixed-distance,Average Petrol Car Mixed Distance,kg-CO2e/pkm,0.124,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Petrol Car. Mixed Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Road Travel,petrol-car-short-distance,Average Petrol Car Short Distance,kg-CO2e/pkm,0.149,60,ADEME,2018,FR,2021/08/20,Emission Intensity of Average Petrol Car. Short Distance. Continental France. 2018 Factor. Updated April 2020. Published by the Agence de l'Environnement et de la Maîtrise de l'Énergie. Provided by the HBEFA & Yearly Compte des Transports.,https://www.bilans-ges.ademe.fr/en/accueil
Transport,Vehicle,petrol-motorbike,Average Petrol Motorbike,kg-CO2e/km,0.11355,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average Petrol Motorbike. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Vehicle,plugin-hybrid-EV,Average Plug-in Hybrid EV,kg-CO2e/km,0.071,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average Plug-in Hybrid Electric Vehicle. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Transport,Vehicle,unknown-car,Average Unknown Car,kg-CO2e/km,0.17148,,BEIS,2021,GB,2021/07/23,Emission Intensity of Average Unknown Car. Unknown Engine Size. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Energy,Fuel,aviation-fuel-kerosene,Aviation fuel (Kerosene),kg-CO2e/l,2.62632,,MfE,2020,NZ,2021/09/10,Emission Intensity of Aviation fuel (Kerosene). Estimated in kg-CO2e/l. Transport fuel emission factors. New Zealand. Published by the Ministry for the Environment of New Zealand in 2020.,https://environment.govt.nz/publications/measuring-emissions-detailed-guide-2020/
Energy,Fuel,aviation-gas,Aviation gas,kg-CO2e/l,2.3123049,,MfE,2020,NZ,2021/09/10,Emission Intensity of Aviation gas. Estimated in kg-CO2e/l. Transport fuel emission factors. New Zealand. Published by the Ministry for the Environment of New Zealand in 2020.,https://environment.govt.nz/publications/measuring-emissions-detailed-guide-2020/
Energy,Fuel,aviation-spirit,Aviation Spirit,kg-CO2e/l,2.33048,,BEIS,2021,GB,2021/07/23,Emission Intensity of Aviation Spirit. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Energy,Fuel,aviation-turbine-oil,Aviation Turbine Oil,kg-CO2e/l,2.54514,,BEIS,2021,GB,2021/07/23,Emission Intensity of Aviation Turbine Oil. Available in DEFRA's Greenhouse Gas Reporting: Conversion Factors 2021.,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2021
Computing,CPU,aws-af-south-1-cpu,AWS (AF SOUTH 1) CPU,kg-CO2e/cpu-hour,0.00219609,,CCF,2021,ZA-CPT,2021/08/19,Emission Intensity for 1 CPU in kg CO2e per hour for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-af-south-1-hdd-storage,AWS (AF SOUTH 1) HDD STORAGE,kg-CO2e/tb,0.00068463,,CCF,2021,ZA-CPT,2021/08/19,Emission Intensity for the HDD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Memory,aws-af-south-1-memory,AWS (AF SOUTH 1) MEMORY,kg-CO2e/gb,0.00041289,,CCF,2021,ZA-CPT,2021/08/19,Emission Intensity for the memory in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Networking,aws-af-south-1-networking,AWS (AF SOUTH 1) NETWORKING,kg-CO2e/gb,0.00105328,,CCF,2021,ZA-CPT,2021/08/19,Emission Intensity for the networking in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-af-south-1-ssd-storage,AWS (AF SOUTH 1) SSD STORAGE,kg-CO2e/tb,0.00126394,,CCF,2021,ZA-CPT,2021/08/19,Emission Intensity for the SSD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,CPU,aws-ap-east-1-cpu,AWS (AP EAST 1) CPU,kg-CO2e/cpu-hour,0.00191685,,CCF,2021,HK-HKG,2021/08/19,Emission Intensity for 1 CPU in kg CO2e per hour for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-east-1-hdd-storage,AWS (AP EAST 1) HDD STORAGE,kg-CO2e/tb,0.00059758,,CCF,2021,HK-HKG,2021/08/19,Emission Intensity for the HDD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Memory,aws-ap-east-1-memory,AWS (AP EAST 1) MEMORY,kg-CO2e/gb,0.00036039,,CCF,2021,HK-HKG,2021/08/19,Emission Intensity for the memory in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Networking,aws-ap-east-1-networking,AWS (AP EAST 1) NETWORKING,kg-CO2e/gb,0.00091935,,CCF,2021,HK-HKG,2021/08/19,Emission Intensity for the networking in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-east-1-ssd-storage,AWS (AP EAST 1) SSD STORAGE,kg-CO2e/tb,0.00110322,,CCF,2021,HK-HKG,2021/08/19,Emission Intensity for the SSD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,CPU,aws-ap-northeast-1-cpu,AWS (AP NORTHEAST 1) CPU,kg-CO2e/cpu-hour,0.00119744,,CCF,2021,JP-TYO,2021/08/19,Emission Intensity for 1 CPU in kg CO2e per hour for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-northeast-1-hdd-storage,AWS (AP NORTHEAST 1) HDD STORAGE,kg-CO2e/tb,0.0003733,,CCF,2021,JP-TYO,2021/08/19,Emission Intensity for the HDD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Memory,aws-ap-northeast-1-memory,AWS (AP NORTHEAST 1) MEMORY,kg-CO2e/gb,0.00022513,,CCF,2021,JP-TYO,2021/08/19,Emission Intensity for the memory in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Networking,aws-ap-northeast-1-networking,AWS (AP NORTHEAST 1) NETWORKING,kg-CO2e/gb,0.00057431,,CCF,2021,JP-TYO,2021/08/19,Emission Intensity for the networking in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-northeast-1-ssd-storage,AWS (AP NORTHEAST 1) SSD STORAGE,kg-CO2e/tb,0.00068917,,CCF,2021,JP-TYO,2021/08/19,Emission Intensity for the SSD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,CPU,aws-ap-northeast-2-cpu,AWS (AP NORTHEAST 2) CPU,kg-CO2e/cpu-hour,0.00118324,,CCF,2021,KR-SEL,2021/08/19,Emission Intensity for 1 CPU in kg CO2e per hour for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-northeast-2-hdd-storage,AWS (AP NORTHEAST 2) HDD STORAGE,kg-CO2e/tb,0.00036888,,CCF,2021,KR-SEL,2021/08/19,Emission Intensity for the HDD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Memory,aws-ap-northeast-2-memory,AWS (AP NORTHEAST 2) MEMORY,kg-CO2e/gb,0.00022246,,CCF,2021,KR-SEL,2021/08/19,Emission Intensity for the memory in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Networking,aws-ap-northeast-2-networking,AWS (AP NORTHEAST 2) NETWORKING,kg-CO2e/gb,0.0005675,,CCF,2021,KR-SEL,2021/08/19,Emission Intensity for the networking in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-northeast-2-ssd-storage,AWS (AP NORTHEAST 2) SSD STORAGE,kg-CO2e/tb,0.000681,,CCF,2021,KR-SEL,2021/08/19,Emission Intensity for the SSD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,CPU,aws-ap-northeast-3-cpu,AWS (AP NORTHEAST 3) CPU,kg-CO2e/cpu-hour,0.00119744,,CCF,2021,JP-OSA,2021/08/19,Emission Intensity for 1 CPU in kg CO2e per hour for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-northeast-3-hdd-storage,AWS (AP NORTHEAST 3) HDD STORAGE,kg-CO2e/tb,0.0003733,,CCF,2021,JP-OSA,2021/08/19,Emission Intensity for the HDD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Memory,aws-ap-northeast-3-memory,AWS (AP NORTHEAST 3) MEMORY,kg-CO2e/gb,0.00022513,,CCF,2021,JP-OSA,2021/08/19,Emission Intensity for the memory in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Networking,aws-ap-northeast-3-networking,AWS (AP NORTHEAST 3) NETWORKING,kg-CO2e/gb,0.00057431,,CCF,2021,JP-OSA,2021/08/19,Emission Intensity for the networking in kg CO2e per gigabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
Computing,Storage,aws-ap-northeast-3-ssd-storage,AWS (AP NORTHEAST 3) SSD STORAGE,kg-CO2e/tb,0.00068917,,CCF,2021,JP-OSA,2021/08/19,Emission Intensity for the SSD storage in kg CO2e per terabyte for the AWS data centers in the given location. Using the assumptions and grid mix data available in the source.,https://www.cloudcarbonfootprint.org/docs/methodology/#compute
